Fetching Page 1 using Cookie: WEIBOCN_FROM=1110006...
Status: 200
Cards found: 12
[0] Type: 156, ID: N/A, Date: N/A, Top: N/A
[1] Type: 9, ID: 5238662649351600, Date: Sun Nov 30 12:46:08 +0800 2025, Top: N/A
[2] Type: 9, ID: 5249865484861581, Date: Wed Dec 31 10:42:11 +0800 2025, Top: N/A
[3] Type: 9, ID: 5249853143910108, Date: Wed Dec 31 09:53:10 +0800 2025, Top: N/A
[4] Type: 9, ID: 5249846722430344, Date: Wed Dec 31 09:27:39 +0800 2025, Top: N/A
[5] Type: 9, ID: 5249831963460739, Date: Wed Dec 31 08:29:00 +0800 2025, Top: N/A
[6] Type: 9, ID: 5249571157969017, Date: Tue Dec 30 15:12:39 +0800 2025, Top: N/A
[7] Type: 9, ID: 5249490153112932, Date: Tue Dec 30 09:50:46 +0800 2025, Top: N/A
[8] Type: 9, ID: 5249484847581565, Date: Tue Dec 30 09:29:41 +0800 2025, Top: N/A
[9] Type: 9, ID: 5249469827776836, Date: Tue Dec 30 08:30:00 +0800 2025, Top: N/A
[10] Type: 9, ID: 5249254663651452, Date: Mon Dec 29 18:15:00 +0800 2025, Top: N/A
[11] Type: 9, ID: 5249106684674580, Date: Mon Dec 29 08:27:00 +0800 2025, Top: N/A
